GEOID,land_area,total_pop,median_age
01073000100,7549578,2970.0,32.2
01073000300,2093104,2494.0,36.5
01073000400,8001582,3437.0,30.6
01073000500,4819145,3735.0,35.8
01073000700,3520564,2562.0,25.4
01073000800,10013097,4039.0,48.7
01073001100,11428318,4813.0,39.9
01073001200,8580553,2978.0,38.1
01073001400,2241288,2125.0,47.1
01073001500,1903855,2917.0,40.9
01073001600,2645532,3722.0,37.4
01073001902,3341543,1924.0,38.4
01073002000,3605024,3651.0,37.0
01073002100,2747977,2656.0,41.0
01073002200,1884661,2662.0,33.7
01073002303,3208467,3902.0,25.3
01073002305,2145174,3050.0,33.8
01073002306,4736344,3849.0,41.8
01073002400,8338981,3698.0,34.1
01073002700,4459953,3816.0,37.0
01073002900,2334504,2062.0,50.3
01073003001,2438072,3208.0,34.6
01073003002,1778289,2699.0,33.5
01073003100,2249497,3550.0,33.0
01073003200,1158186,1122.0,33.0
01073003300,1964243,970.0,44.2
01073003400,2048616,2420.0,38.1
01073003500,7394823,2908.0,31.1
01073003600,2316098,4136.0,43.1
01073003700,2419170,4627.0,43.4
01073003802,3245070,5693.0,36.6
01073003803,2701339,3555.0,45.8
01073003900,2232730,1664.0,30.6
01073004000,2364677,3544.0,40.5
01073004200,3056205,2345.0,44.8
01073004500,3020204,4231.0,20.6
01073004701,1124486,3839.0,32.5
01073004702,2542342,3314.0,43.0
01073004800,1253859,2015.0,47.8
01073004901,959213,1090.0,36.6
01073004902,1148589,3135.0,30.4
01073005000,2422849,3319.0,30.2
01073005101,743007,1896.0,26.5
01073005103,1738959,2975.0,39.9
01073005104,1811281,4100.0,25.7
01073005200,4595599,3556.0,45.0
01073005302,5024539,3601.0,45.6
01073005500,8804184,2336.0,33.6
01073005600,4275124,4788.0,39.3
01073005701,3265322,2576.0,39.8
01073005702,2791816,3502.0,44.9
01073005800,2538262,3747.0,26.1
01073005903,7956342,4815.0,42.6
01073005905,5467650,5346.0,34.9
01073005907,2171471,2167.0,46.5
01073005908,2938059,3405.0,34.1
01073005909,4516001,2526.0,37.5
01073005910,7282139,5342.0,36.3
01073010302,5262546,4298.0,24.8
01073010500,3502277,1538.0,37.0
01073010701,960026,1716.0,31.1
01073010703,2006630,2163.0,39.6
01073010706,7462748,5296.0,28.0
01073010801,5012892,5514.0,36.1
01073010802,5595701,3593.0,40.0
01073010803,8619390,6219.0,43.3
01073010805,20752145,7420.0,47.4
01073011104,13811206,7385.0,36.9
01073011107,60630454,11023.0,39.6
01073011108,9165192,4770.0,42.6
01073011205,9555532,1953.0,47.3
01073011207,5416866,5108.0,35.1
01073011209,4209293,3582.0,28.6
01073011210,9003638,3689.0,34.9
01073011803,3942608,5448.0,27.6
01073011804,2990953,3011.0,30.3
01073011901,30271234,2697.0,46.5
01073011904,10739384,2285.0,48.3
01073012001,36753546,4310.0,43.8
01073012002,31647640,6846.0,39.5
01073012200,115402081,4379.0,42.1
01073012302,169329723,3619.0,42.1
01073012304,7546587,2665.0,40.8
01073012305,15730698,7774.0,40.7
01073012401,4749904,3757.0,41.2
01073012402,13166485,2784.0,40.7
01073012500,30469652,4227.0,40.1
01073012602,21086022,3351.0,34.8
01073012701,26558604,3698.0,42.4
01073012703,30919964,6170.0,32.9
