GEOID,place_name,prop_white,med_income_k
01073000100,"Birmingham, AL",0.171,24.359
01073000300,"Birmingham, AL",0.046,20.425
01073000400,"Birmingham, AL",0.079,21.759
01073000500,"Birmingham, AL",0.05,21.43
01073000700,"Birmingham, AL",0.0,15.833
01073000800,"Birmingham, AL",0.015,23.81
01073001100,"Birmingham, AL",0.015,34.13
01073001200,"Birmingham, AL",0.024,24.688
01073001400,"Birmingham, AL",0.033,26.169
01073001500,"Birmingham, AL",0.038,20.92
01073001600,"Birmingham, AL",0.105,22.129
01073001902,"Birmingham, AL",0.047,21.35
01073002000,"Birmingham, AL",0.233,23.942
01073002100,"Birmingham, AL",0.2,28.37
01073002200,"Birmingham, AL",0.066,29.113000000000003
01073002303,"Birmingham, AL",0.015,12.765999999999998
01073002305,"Birmingham, AL",0.726,65.893
01073002306,"Birmingham, AL",0.68,58.50899999999999
01073002400,"Birmingham, AL",0.27899999999999997,25.703000000000007
01073002700,"Birmingham, AL",0.434,21.689
01073002900,"Birmingham, AL",0.013000000000000001,12.48
01073003001,"Birmingham, AL",0.24600000000000002,34.796
01073003002,"Birmingham, AL",0.011000000000000001,16.197
01073003100,"Birmingham, AL",0.031,23.966
01073003200,"Birmingham, AL",0.085,17.034000000000002
01073003300,"Birmingham, AL",0.001,19.355
01073003400,"Birmingham, AL",0.08199999999999999,21.926
01073003500,"Birmingham, AL",0.09699999999999999,28.009
01073003600,"Birmingham, AL",0.054000000000000006,40.317
01073003700,"Birmingham, AL",0.033,26.587
01073003802,"Birmingham, AL",0.065,32.488
01073003803,"Birmingham, AL",0.027000000000000003,24.795
01073003900,"Birmingham, AL",0.0,23.013
01073004000,"Birmingham, AL",0.01,16.602
01073004200,"Birmingham, AL",0.02,19.432
01073004500,"Birmingham, AL",0.39399999999999996,14.611
01073004701,"Birmingham, AL",0.8170000000000001,45.065
01073004702,"Birmingham, AL",0.9,69.788
01073004800,"Birmingham, AL",0.848,43.28100000000001
01073004901,"Birmingham, AL",0.738,34.891
01073004902,"Birmingham, AL",0.6609999999999999,31.636
01073005000,"Birmingham, AL",0.489,35.293
01073005101,"Birmingham, AL",0.004,14.602
01073005103,"Birmingham, AL",0.08,29.125
01073005104,"Birmingham, AL",0.177,28.95
01073005200,"Birmingham, AL",0.0,25.25
01073005302,"Birmingham, AL",0.467,44.19600000000001
01073005500,"Birmingham, AL",0.245,21.667
01073005600,"Birmingham, AL",0.8320000000000001,48.897
01073005701,"Birmingham, AL",0.013999999999999999,30.44
01073005702,"Birmingham, AL",0.008,28.817
01073005800,"Birmingham, AL",0.3,30.809
01073005903,"Birmingham, AL",0.264,43.783
01073005905,"Birmingham, AL",0.18,35.98900000000001
01073005907,"Birmingham, AL",0.233,58.789
