GEOID,place_name,land_area,total_pop,median_age,prop_65_older,prop_hispanic,prop_white,prop_black,prop_asian,prop_male,prop_single_fam_detached,med_rooms_in_house,prop_built_before_1940,prop_renting,count_renter_occupied_units,rental_vacancy_rate,renter_household_size,mean_travel_time_work,prop_commute_drive_alone,prop_below_poverty,prop_college_grad_student,prop_nonrelatives_household,prop_same_residence_year_ago,prop_bachelors_or_higher,prop_english_only,prop_foreign_born,distance_to_center_km,pop_density_k_km,renter_occupied_units_km,prop_20_34,prop_burden,median_gross_rent_k,med_income_k,med_home_value_k,prop_white_change_2012_2015
01073000100,"Birmingham, AL",7549578,2970.0,32.2,0.116,0.046,0.171,0.779,0.0,0.542,0.705,5.1,0.114,0.507,588.0,0.029,2.37,22.2,0.794,0.383,0.128,0.038,0.847,0.09,0.942,0.031,10.575174885356065,0.3933994721294356,77.88514801754481,0.208,0.6040000000000001,0.754,24.359,68.4,0.013999999999999986
01073000300,"Birmingham, AL",2093104,2494.0,36.5,0.07400000000000001,0.18,0.046,0.672,0.084,0.457,0.326,4.5,0.159,0.784,780.0,0.068,2.16,20.9,0.73,0.344,0.223,0.036000000000000004,0.8590000000000001,0.14300000000000002,0.777,0.165,6.002938662674992,1.191531811128353,372.65229056941286,0.251,0.534,0.552,20.425,65.3,-0.021999999999999992
01073000400,"Birmingham, AL",8001582,3437.0,30.6,0.093,0.006999999999999999,0.079,0.908,0.0,0.452,0.897,5.7,0.249,0.508,580.0,0.03,3.21,26.6,0.866,0.467,0.295,0.073,0.784,0.033,0.982,0.005,6.5882740711180094,0.4295400584534408,72.48566595955648,0.251,0.7469999999999999,0.912,21.759,60.7,0.025
01073000500,"Birmingham, AL",4819145,3735.0,35.8,0.092,0.014,0.05,0.924,0.0,0.527,0.546,4.7,0.185,0.642,937.0,0.046,2.47,20.5,0.7509999999999999,0.469,0.103,0.019,0.8290000000000001,0.069,0.973,0.0,4.36547662805434,0.7750337456125516,194.43282988994937,0.165,0.547,0.534,21.43,53.7,0.011
01073000700,"Birmingham, AL",3520564,2562.0,25.4,0.103,0.025,0.0,0.975,0.0,0.512,0.569,5.1,0.16399999999999998,0.6709999999999999,584.0,0.051,3.33,24.6,0.605,0.599,0.049,0.046,0.919,0.073,0.989,0.005,3.9160456719666352,0.7277243078097714,165.88251200659894,0.214,0.773,0.505,15.833,52.4,-0.001
01073000800,"Birmingham, AL",10013097,4039.0,48.7,0.236,0.014,0.015,0.961,0.0,0.541,0.67,5.3,0.205,0.411,712.0,0.085,2.04,20.2,0.779,0.267,0.285,0.059,0.915,0.085,0.966,0.014,4.139291172937504,0.4033717040791675,71.10687133061829,0.2,0.485,0.51,23.81,55.1,0.0030000000000000005
01073001100,"Birmingham, AL",11428318,4813.0,39.9,0.182,0.0,0.015,0.982,0.003,0.35700000000000004,0.856,5.9,0.136,0.246,427.0,0.17600000000000002,2.36,23.5,0.8759999999999999,0.244,0.325,0.003,0.965,0.187,0.997,0.003,6.841866343460255,0.4211468389311532,37.36332853181019,0.223,0.878,0.584,34.13,86.0,-0.0059999999999999975
01073001200,"Birmingham, AL",8580553,2978.0,38.1,0.16699999999999998,0.114,0.024,0.86,0.0,0.555,0.84,5.3,0.301,0.412,492.0,0.043,2.41,23.9,0.6609999999999999,0.274,0.382,0.063,0.838,0.101,0.892,0.11,4.805587839496653,0.34706387805075034,57.338961719600114,0.238,0.613,0.682,24.688000000000002,56.4,-0.056
01073001400,"Birmingham, AL",2241288,2125.0,47.1,0.189,0.0,0.033,0.965,0.0,0.509,0.861,5.8,0.299,0.4,342.0,0.0,3.0,18.0,0.721,0.266,0.252,0.047,0.833,0.184,0.983,0.0,2.5055470303312366,0.9481155478457032,152.59083170034373,0.235,0.6930000000000001,0.857,26.169,53.8,-0.009999999999999995
01073001500,"Birmingham, AL",1903855,2917.0,40.9,0.121,0.0,0.038,0.945,0.0,0.552,0.479,4.7,0.306,0.647,820.0,0.114,2.21,23.0,0.706,0.387,0.211,0.061,0.813,0.086,0.985,0.004,1.6009060627245255,1.5321544970599126,430.70506945119246,0.212,0.6409999999999999,0.563,20.92,56.3,-0.064
01073001600,"Birmingham, AL",2645532,3722.0,37.4,0.194,0.059,0.105,0.8109999999999999,0.009000000000000001,0.495,0.643,5.7,0.391,0.53,564.0,0.096,3.39,21.1,0.655,0.506,0.102,0.113,0.626,0.078,0.923,0.037000000000000005,2.2235212035857157,1.4069003890332832,213.18963444781616,0.17299999999999996,0.685,0.643,22.129,61.6,0.06299999999999999
01073001902,"Birmingham, AL",3341543,1924.0,38.4,0.087,0.095,0.047,0.856,0.0,0.537,0.698,4.9,0.269,0.691,540.0,0.061,2.44,19.1,0.78,0.379,0.404,0.053,0.777,0.019,0.885,0.081,7.338120818510768,0.5757819067418853,161.60199045770173,0.229,0.64,0.779,21.35,59.1,-0.056000000000000015
