bedrooms,rent,sqft,date,longitude,latitude
1.0,2900.0,,2014-05-24,-73.974187,40.785946
2.0,850.0,,2014-06-16,-124.084368,40.881354
2.0,1020.0,1046.0,2014-06-08,-106.5364,31.8383
2.0,875.0,957.0,2014-06-11,-96.855898,33.007152000000005
1.0,2299.0,,2014-05-28,-73.961704,40.710904
1.0,695.0,,2014-06-24,-77.00230400000002,41.241313
,639.0,884.0,2014-05-19,-119.7061,36.7528
2.0,3200.0,,2014-05-23,-87.649999,41.894882
1.0,575.0,400.0,2014-06-29,-84.495635,38.036262
,495.0,724.0,2014-07-09,-97.236529,37.676389
1.0,2682.0,603.0,2014-06-23,-71.10136999999997,42.344193
1.0,595.0,700.0,2014-05-12,-81.598861,26.612762
2.0,905.0,914.0,2014-05-12,-84.2905,33.8879
2.0,1515.0,,2014-07-13,-96.844397,32.828523
1.0,1095.0,1000.0,2014-05-13,-104.775698,39.656834
2.0,949.0,1150.0,2014-05-27,-81.605,30.1927
1.0,849.0,,2014-06-16,-98.6555,29.4597
2.0,,1300.0,2014-05-18,-80.8231,35.2132
,,,2014-05-23,-82.39996,28.028634000000004
1.0,919.0,,2014-07-01,-90.357699,38.66245900000001
2.0,3621.0,,2014-06-21,-71.065578,42.355499
1.0,575.0,,2014-07-02,-119.767199,39.537658
3.0,1300.0,,2014-05-20,-79.964726,40.331122
,,,2014-05-30,-77.2142,38.8307
2.0,535.0,,2014-06-23,-88.434234,44.282939
2.0,960.0,820.0,2014-06-02,-73.800168,42.65585
3.0,550.0,1600.0,2014-05-29,-82.0099,33.3589
1.0,850.0,560.0,2014-05-27,-80.3918,25.5303
1.0,605.0,760.0,2014-05-23,-84.2539,33.8932
2.0,1445.0,,2014-05-20,-73.206815,44.480077
2.0,695.0,900.0,2014-06-08,-119.770901,36.772149
1.0,,,2014-05-30,-80.3588,25.7343
1.0,1500.0,,2014-05-21,-71.1566,42.3478
1.0,625.0,,2014-05-22,-121.354133,38.007999
2.0,800.0,1025.0,2014-05-19,-90.2831,38.7947
2.0,1059.0,1160.0,2014-05-16,-121.361654,38.021726
,2300.0,1450.0,2014-06-13,-117.97677,33.836807
5.0,1900.0,,2014-06-23,-74.203783,40.764521
3.0,925.0,,2014-06-19,-96.3063,41.2702
1.0,4367.0,755.0,2014-06-10,-122.403746,37.780213
4.0,339.0,1940.0,2014-06-13,-105.566257,41.321473
2.0,1495.0,1010.0,2014-05-23,-117.0676,32.6371
2.0,800.0,1000.0,2014-05-15,-86.797797,33.392575
,950.0,,2014-06-02,-80.124264,25.867153
2.0,875.0,967.0,2014-07-13,-119.1044,46.2492
,,,2014-05-31,-95.940293,36.170773
,1775.0,,2014-05-12,-73.94856700000003,40.773197
2.0,575.0,929.0,2014-05-22,-90.2065,38.8033
2.0,778.0,,2014-06-20,-87.727774,41.902532
,1650.0,,2014-05-19,-122.418671,37.783166
2.0,649.0,,2014-05-16,-81.727896,30.200317
7.0,2695.0,4000.0,2014-07-04,-93.306931,45.00602
,,,2014-05-19,-117.2898,34.1105
2.0,2400.0,,2014-05-23,-71.055414,42.365268
1.0,1300.0,,2014-05-29,-72.92845799999998,41.305174
2.0,450.0,600.0,2014-05-16,-110.9739,32.1941
3.0,2650.0,1600.0,2014-06-01,-87.740858,41.951531
,1075.0,,2014-05-20,-118.129403,34.141007
3.0,850.0,,2014-05-27,-76.2844,40.0335
2.0,965.0,,2014-05-19,-98.514404,29.615252
,795.0,,2014-05-24,-123.828664,46.189635
1.0,778.0,703.0,2014-05-15,-81.381912,28.538084
3.0,1000.0,1263.0,2014-05-27,-84.302274,30.429239000000006
1.0,1868.0,,2014-06-02,-122.088,37.3855
1.0,625.0,660.0,2014-06-23,-95.595916,29.690538
2.0,1650.0,,2014-05-29,-87.66585400000002,41.923616
4.0,1300.0,1100.0,2014-06-23,-78.828344,42.95324
4.0,1100.0,1900.0,2014-05-26,-77.415112,37.568835
2.0,3300.0,1200.0,2014-05-27,-71.056832,42.361928000000006
2.0,1595.0,932.0,2014-05-16,-117.83173899999998,33.870633000000005
3.0,1100.0,1000.0,2014-06-15,-71.478831,42.996886
2.0,899.0,950.0,2014-07-01,-89.463258,43.024275
2.0,1500.0,,2014-05-14,-90.06737700000002,30.354416
2.0,2782.0,1158.0,2014-06-21,-87.625652,41.896732
3.0,992.0,1199.0,2014-05-13,-80.0725,26.7492
1.0,515.0,,2014-05-20,-111.75399999999999,32.8906
2.0,1212.0,761.0,2014-07-05,-86.143541,39.957451
2.0,1028.0,1156.0,2014-06-16,-78.81109000000002,35.91719000000001
4.0,3600.0,,2014-05-18,-71.1341,42.3259
,,,2014-05-30,-97.751541,30.391386
1.0,1650.0,9999.0,2014-06-20,-71.14746099999998,42.336342
2.0,750.0,775.0,2014-05-23,-122.511207,45.620614
1.0,575.0,650.0,2014-06-24,-110.913921,32.253202
2.0,625.0,,2014-05-28,-110.9222,32.2468
2.0,1610.0,1112.0,2014-06-01,-96.6773,33.1186
4.0,3800.0,,2014-05-27,-87.675983,41.892275
4.0,1695.0,2696.0,2014-05-15,-117.303,33.6927
2.0,1400.0,2231.0,2014-05-20,-121.800227,39.748196
,2720.0,1222.0,2014-06-15,-118.33871,34.102056
2.0,1100.0,,2014-05-19,-87.743558,41.967931
2.0,1250.0,,2014-05-30,-80.3165,25.9388
1.0,950.0,825.0,2014-05-28,-81.375282,28.533579
1.0,2894.0,1303.0,2014-05-14,-121.887,37.3476
2.0,1250.0,,2014-06-24,-158.03203,21.494904
2.0,1280.0,1216.0,2014-05-31,-149.866489,61.148847
2.0,550.0,,2014-06-02,-111.824542,33.405175
1.0,1095.0,,2014-06-09,-117.123002,32.714490999999995
2.0,785.0,772.0,2014-06-19,-121.531467,38.586305
1.0,1995.0,,2014-06-26,-122.690699,45.532075
2.0,550.0,,2014-05-16,-81.433,40.8956
1.0,705.0,651.0,2014-07-03,-121.39255,38.550305
3.0,3310.0,1831.0,2014-05-14,-77.050552,38.853194
2.0,605.0,800.0,2014-05-31,-95.250542,38.969369
2.0,1900.0,,2014-05-12,-118.537316,34.194225
2.0,975.0,1272.0,2014-06-11,-95.03324,29.481037
1.0,550.0,600.0,2014-06-12,-122.4993,47.2632
4.0,5004.0,,2014-06-24,-73.962908,40.799257
2.0,2800.0,,2014-05-14,-71.11998299999998,42.379983
3.0,1195.0,1762.0,2014-06-11,-121.3238,38.0024
,650.0,,2014-06-23,-71.397871,41.783155
2.0,1310.0,1112.0,2014-06-23,-93.358864,44.906116
2.0,1460.0,990.0,2014-05-27,-117.691888,34.028295
